name,block,,splite,,cos
https://scratch.mit.edu/projects/10140853/,541,28.47368421,22,11,0.566052082
https://scratch.mit.edu/projects/10156302/,21,1.105263158,2,1,0.944809024
https://scratch.mit.edu/projects/10160695/,51,2.684210526,2,1,0.763223966
https://scratch.mit.edu/projects/10161584/,22,1.157894737,2,1,0.966091783
https://scratch.mit.edu/projects/10166601/,93,4.894736842,2,1,0.385814197
https://scratch.mit.edu/projects/10170093/,34,1.789473684,2,1,0.898756905
https://scratch.mit.edu/projects/10171189/,53,2.789473684,2,1,0.736897933
https://scratch.mit.edu/projects/10171189/,53,2.789473684,2,1,0.736897933
https://scratch.mit.edu/projects/10171773/,48,2.526315789,2,1,0.811997943
https://scratch.mit.edu/projects/10172828/,55,2.894736842,2,1,0.69849107
https://scratch.mit.edu/projects/10173681/,112,5.894736842,4,2,0.679874071
https://scratch.mit.edu/projects/10174341/,49,2.578947368,2,1,0.809407831
https://scratch.mit.edu/projects/10176346/,27,1.421052632,3,1.5,0.971700407
https://scratch.mit.edu/projects/10177622/,106,5.578947368,17,8.5,0.335268596
https://scratch.mit.edu/projects/10178090/,328,17.26315789,10,5,0.665005492
https://scratch.mit.edu/projects/10175151/,98,5.157894737,7,3.5,0.773356079
https://scratch.mit.edu/projects/10175151/,98,5.157894737,7,3.5,0.773356079
https://scratch.mit.edu/projects/10190684/,24,1.263157895,2,1,0.866400225
https://scratch.mit.edu/projects/10199491/,46,2.421052632,4,2,0.966963786
https://scratch.mit.edu/projects/10211968/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10216511/,37,1.947368421,3,1.5,0.929701962
https://scratch.mit.edu/projects/10231982/,57,3,3,1.5,0.815810161
https://scratch.mit.edu/projects/10239134/,21,1.105263158,2,1,0.920264335
https://scratch.mit.edu/projects/10240547/,5,0.263157895,2,1,0.377964473
https://scratch.mit.edu/projects/10249397/,24,1.263157895,2,1,0.932278315
https://scratch.mit.edu/projects/10250040/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10254876/,26,1.368421053,2,1,0.813157113
https://scratch.mit.edu/projects/10262133/,22,1.157894737,3,1.5,0.947045094
https://scratch.mit.edu/projects/10264756/,101,5.315789474,3,1.5,0.367853015
https://scratch.mit.edu/projects/10266118/,20,1.052631579,3,1.5,0.957841489
https://scratch.mit.edu/projects/10259272/,115,6.052631579,5,2.5,0.57114587
https://scratch.mit.edu/projects/10286321/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10292918/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10259448/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10294168/,32,1.684210526,3,1.5,0.975900073
https://scratch.mit.edu/projects/10296091/,20,1.052631579,2,1,0.908688223
https://scratch.mit.edu/projects/10299108/,19,1,3,1.5,0.971428571
https://scratch.mit.edu/projects/10299108/,19,1,3,1.5,0.971428571
https://scratch.mit.edu/projects/10315871/,26,1.368421053,2,1,0.858332508
https://scratch.mit.edu/projects/10318108/,28,1.473684211,2,1,0.858332508
https://scratch.mit.edu/projects/10329180/,27,1.421052632,2,1,0.936050467
https://scratch.mit.edu/projects/10331845/,18,0.947368421,2,1,0.956622209
https://scratch.mit.edu/projects/10344526/,22,1.157894737,2,1,0.908688223
https://scratch.mit.edu/projects/10270871/,67,3.526315789,12,6,0.80037729
https://scratch.mit.edu/projects/10352436/,8,0.421052632,3,1.5,0.676123404
https://scratch.mit.edu/projects/10345709/,144,7.578947368,8,4,0.364806526
https://scratch.mit.edu/projects/10286026/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10376497/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10382021/,31,1.631578947,3,1.5,0.887978461
https://scratch.mit.edu/projects/10389481/,32,1.684210526,3,1.5,0.975900073
https://scratch.mit.edu/projects/10390201/,43,2.263157895,4,2,0.733216324
https://scratch.mit.edu/projects/10363649/,54,2.842105263,3,1.5,0.616802209
https://scratch.mit.edu/projects/10355506/,58,3.052631579,4,2,0.598056818
https://scratch.mit.edu/projects/10323189/,21,1.105263158,2,1,0.944809024
https://scratch.mit.edu/projects/10323189/,21,1.105263158,2,1,0.944809024
https://scratch.mit.edu/projects/10404409/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10289939/,28,1.473684211,2,1,0.843403847
https://scratch.mit.edu/projects/10411037/,147,7.736842105,7,3.5,0.91696152
https://scratch.mit.edu/projects/10418826/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10418715/,46,2.421052632,4,2,0.966963786
https://scratch.mit.edu/projects/10399942/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10399919/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10399201/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10422182/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10426440/,23,1.210526316,2,1,0.912260295
https://scratch.mit.edu/projects/10426440/,23,1.210526316,2,1,0.912260295
https://scratch.mit.edu/projects/10426219/,28,1.473684211,3,1.5,0.894669157
https://scratch.mit.edu/projects/10437429/,19,1,2,1,0.971428571
https://scratch.mit.edu/projects/10441276/,826,43.47368421,33,16.5,0.30122829
https://scratch.mit.edu/projects/10443274/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10444183/,20,1.052631579,2,1,0.704295212
https://scratch.mit.edu/projects/10446339/,21,1.105263158,2,1,0.923093083
https://scratch.mit.edu/projects/10447934/,57,3,2,1,0.447507912
https://scratch.mit.edu/projects/10447934/,57,3,2,1,0.447507912
https://scratch.mit.edu/projects/10456231/,44,2.315789474,3,1.5,0.581526699
https://scratch.mit.edu/projects/10469313/,0,0,0,0,0
https://scratch.mit.edu/projects/10470884/,33,1.736842105,3,1.5,0.971413152
https://scratch.mit.edu/projects/10471283/,22,1.157894737,2,1,0.956182887
https://scratch.mit.edu/projects/10472008/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10438409/,42,2.210526316,4,2,0.922009004
https://scratch.mit.edu/projects/10474711/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10406564/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10484068/,22,1.157894737,2,1,0.935414347
https://scratch.mit.edu/projects/10485572/,53,2.789473684,2,1,0.772713941
https://scratch.mit.edu/projects/10488406/,27,1.421052632,3,1.5,0.866100381
https://scratch.mit.edu/projects/10489929/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10496890/,19,1,2,1,0.976732803
https://scratch.mit.edu/projects/10499549/,20,1.052631579,2,1,0.991117009
https://scratch.mit.edu/projects/10501274/,25,1.315789474,2,1,0.82841687
https://scratch.mit.edu/projects/10501274/,25,1.315789474,2,1,0.82841687
https://scratch.mit.edu/projects/10507040/,20,1.052631579,2,1,0.986013297
https://scratch.mit.edu/projects/10515376/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10516317/,32,1.684210526,3,1.5,0.975900073
https://scratch.mit.edu/projects/10517149/,21,1.105263158,2,1,0.965890577
https://scratch.mit.edu/projects/10245505/,30,1.578947368,2,1,0.793039447
https://scratch.mit.edu/projects/10531287/,32,1.684210526,2,1,0.893126205
https://scratch.mit.edu/projects/10531608/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10532227/,20,1.052631579,2,1,0.31887407
https://scratch.mit.edu/projects/10405012/,26,1.368421053,2,1,0.897085227
https://scratch.mit.edu/projects/10513793/,18,0.947368421,2,1,0.985610761
https://scratch.mit.edu/projects/10540718/,30,1.578947368,3,1.5,0.72274494
https://scratch.mit.edu/projects/10549334/,53,2.789473684,3,1.5,0.581018431
https://scratch.mit.edu/projects/10376811/,56,2.947368421,4,2,0.808721904
https://scratch.mit.edu/projects/10564801/,21,1.105263158,2,1,0.944809024
https://scratch.mit.edu/projects/10566887/,18,0.947368421,2,1,0.985610761
